0,age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
427,33,M,AGO2MEE,,No Membership,10-08-2015,Yes,CID39594,Without Offers,Desktop,Wi-Fi,07:18:17,10,30.91,32503.71,11,552.16,No,Yes,No,Not Applicable,Poor Website,1
428,36,M,KM8J7QI,City,Basic Membership,10-10-2015,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,07:44:09,15,186.4,26284.13,17,656.21,Yes,No,No,Not Applicable,Poor Website,1
429,53,M,O7FKPZS,Town,Premium Membership,21-09-2017,Yes,CID40825,Credit/Debit Card Offers,Desktop,Mobile_Data,03:15:33,-999,83.02,32966.01,22,,Yes,No,Yes,Unsolved,Too many ads,0
430,13,M,FPO839O,Town,Basic Membership,30-12-2017,?,CID50173,Credit/Debit Card Offers,Smartphone,Mobile_Data,16:36:03,5,1721.26,28781.74,13,512.17,Yes,Yes,Yes,Solved,Poor Customer Service,1
431,27,M,0PLPEW8,Village,Silver Membership,08-03-2015,?,CID2453,Credit/Debit Card Offers,Both,Mobile_Data,18:12:03,10,747.05,29414.81,16,683.08,No,Yes,Yes,Solved,Poor Product Quality,1
432,11,F,Y3YDQIH,Town,Basic Membership,17-11-2015,Yes,CID60923,Gift Vouchers/Coupons,?,Fiber_Optic,07:35:45,11,1228.143729,2173.69,17,969.1398301,No,Yes,No,Not Applicable,Poor Customer Service,1
433,26,F,NTVRTSW,City,No Membership,10-05-2017,Yes,CID13361,Without Offers,Desktop,Mobile_Data,01:41:05,12,652.19,26519.82,16,1466.43648,Yes,Yes,No,Not Applicable,No reason specified,1
434,16,M,P0H0LPX,City,Basic Membership,26-09-2016,Yes,CID56161,Without Offers,Smartphone,Mobile_Data,06:28:44,11,130.05,17513.69,29,535.24,No,Yes,Yes,Unsolved,Too many ads,1
435,51,M,WFN7EE1,,Premium Membership,28-10-2017,Yes,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,08:58:03,7,185.79,53225.55,5,,No,Yes,No,Not Applicable,Products always in Stock,0
436,23,M,U3WFVQZ,Town,Silver Membership,29-07-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,01:43:28,13,32.83,49711.44,26,485.0209578,No,Yes,No,Not Applicable,Too many ads,0
437,25,F,G37PP74,City,Platinum Membership,02-03-2015,Yes,CID10241,Credit/Debit Card Offers,Desktop,Fiber_Optic,21:50:00,12,529.07,6325.37,23,744.6,Yes,No,Yes,Unsolved,Poor Product Quality,0
438,16,M,LSOBASG,Village,Basic Membership,26-06-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,21:36:20,7,47.18,2242.41,14,667.44,No,Yes,No,Not Applicable,Poor Customer Service,1
439,60,F,V70K7K4,,Basic Membership,05-11-2016,Yes,CID30788,Without Offers,Both,Wi-Fi,06:30:06,4,507.58,34469.26,13,651.69,Yes,Yes,No,Not Applicable,No reason specified,1
440,61,M,4DGROVU,Town,Basic Membership,12-04-2016,?,CID5590,Without Offers,?,Fiber_Optic,10:01:13,12,322.92,18353.67,19,534.9,Yes,No,No,Not Applicable,Poor Customer Service,1
441,44,M,0EG30XV,City,Gold Membership,12-03-2017,Yes,CID62572,Gift Vouchers/Coupons,?,Wi-Fi,07:19:50,13,96.76,31096.42,16,794.75,No,Yes,No,Not Applicable,Products always in Stock,0
442,20,F,Z3XHO8Q,City,Gold Membership,10-11-2016,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,01:03:32,13,171.79,16554.99,12,777.01,No,Yes,No,Not Applicable,Poor Website,0
443,27,M,QB2EVN5,Town,Silver Membership,24-10-2015,?,CID34811,Without Offers,Both,Fiber_Optic,02:05:09,11,249.36,28951.39,18,768.86,Yes,No,No,Not Applicable,Too many ads,0
444,22,F,8Z0GW27,City,Gold Membership,02-08-2016,Yes,CID3401,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,12:22:00,3,2732.7,79718.85,5,824.45,Yes,Yes,Yes,Solved in Follow-up,User Friendly Website,0
445,19,F,HF9AKSB,City,Silver Membership,27-01-2017,Yes,CID33810,Gift Vouchers/Coupons,Desktop,Mobile_Data,02:57:26,14,213.38,14581.71,18,713.31,Yes,Yes,No,Not Applicable,Poor Customer Service,0
446,49,M,TG8E59H,Village,Premium Membership,03-08-2017,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,05:35:50,-999,68.77,2187.4,Error,702.95,Yes,No,Yes,Solved,Poor Product Quality,0
447,40,M,F75PAFR,,No Membership,10-09-2015,Yes,CID57021,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,17:46:25,13,77.19,24873.42,20,696.24,Yes,No,No,Not Applicable,Poor Website,1
448,20,M,TVWE9FO,Village,No Membership,24-10-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,13:57:20,3,-503.7872902,30354.78,13,1030.541941,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
449,52,M,3OQSHQI,Town,Platinum Membership,07-12-2016,Yes,CID23246,Gift Vouchers/Coupons,Smartphone,Wi-Fi,10:06:41,21,30.48,1911.99,22,745.75,Yes,No,Yes,No Information Available,Too many ads,0
450,39,F,KRP5KZX,Town,Basic Membership,22-04-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,01:51:14,21,186.03,2353.19,22,675.41,Yes,No,No,Not Applicable,No reason specified,1
451,20,F,VEIFRGC,Village,Platinum Membership,22-07-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Mobile_Data,23:25:49,20,257.51,26394.03,11,792.01,No,Yes,No,Not Applicable,Reasonable Price,0
452,25,M,VK6Q1QU,City,No Membership,12-02-2016,?,CID57748,Without Offers,?,Mobile_Data,07:56:41,21,40.73,3069.27,15,658.13,No,Yes,Yes,Solved,Too many ads,1
453,16,M,I0TP1M2,City,Premium Membership,12-10-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,04:11:00,7,280.15,61874.77,4,774.36,No,Yes,Yes,Solved in Follow-up,Quality Customer Care,0
454,17,F,JV1I8IF,Town,No Membership,14-01-2017,Yes,CID40236,Credit/Debit Card Offers,Smartphone,Wi-Fi,07:30:24,20,69.38,1062.77,24,699.24,Yes,No,Yes,Solved,Too many ads,1
455,64,F,HW5IWI7,City,No Membership,09-07-2016,Yes,CID42557,Without Offers,Desktop,Mobile_Data,18:05:54,-999,393.4,46194.84,46.43606503,330.5707099,Yes,No,Yes,Solved in Follow-up,Too many ads,1
456,37,F,QW8S16R,Town,Basic Membership,29-10-2016,Yes,CID10731,Without Offers,Smartphone,Wi-Fi,18:13:08,13,66.03,46020.2,29,529.86,No,Yes,No,Not Applicable,Poor Website,1
457,49,F,ITDY1DO,Town,Basic Membership,18-09-2016,No,xxxxxxxx,,Smartphone,Mobile_Data,17:00:03,24,31.93,24009.29,6,618.05,Yes,No,Yes,No Information Available,Poor Product Quality,1
458,36,M,2Q9KRR1,City,Basic Membership,14-03-2016,Yes,CID17468,Gift Vouchers/Coupons,Desktop,Fiber_Optic,01:26:42,23,125.03,10994.22,20,1147.987633,Yes,No,No,Not Applicable,No reason specified,1
459,59,F,V3UZSK5,Village,Gold Membership,25-09-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,00:54:37,21,228.5,9071.32,8,703.79,Yes,No,No,Not Applicable,Poor Website,0
460,21,M,9VLNSL7,City,Premium Membership,15-08-2017,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,08:48:00,21,36.51,23137.87,11,,No,Yes,Yes,Solved in Follow-up,Poor Website,0
461,17,M,LFWH0IP,City,Silver Membership,13-01-2015,Yes,CID25765,Without Offers,Both,Wi-Fi,06:46:11,4,406.37,14837.87,19,742.51,No,Yes,No,Not Applicable,Poor Website,0
462,15,M,9V00PP5,Town,Silver Membership,19-01-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,02:55:35,7,36.13,21281.1,Error,719.2,No,Yes,Yes,Unsolved,No reason specified,0
463,48,M,WD8PYJ6,Village,Gold Membership,23-01-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,04:03:32,14,160.61,90796.23,3,823.46,No,Yes,Yes,Unsolved,Reasonable Price,0
464,47,M,948B4WZ,Town,Silver Membership,12-06-2016,Yes,CID13189,Credit/Debit Card Offers,Desktop,Fiber_Optic,04:17:07,14,247.55,40684.25,20,701.81,Yes,Yes,No,Not Applicable,Too many ads,0
465,17,M,M6KFKIN,,Premium Membership,05-10-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13:52:45,12,164.74,41722.86,22,728,Yes,No,Yes,Solved in Follow-up,No reason specified,0
466,21,M,TSOYO3H,,Gold Membership,14-09-2016,Yes,CID16421,Without Offers,Smartphone,Mobile_Data,07:03:43,21,49.24,49946.91,18,694.15,Yes,No,Yes,Unsolved,Poor Product Quality,1
467,51,M,T18BBSW,City,Platinum Membership,23-08-2017,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,18:46:54,18,55,8502.47,22,786.6,No,Yes,No,Not Applicable,Poor Product Quality,0
468,59,F,K6P6NYI,Town,Gold Membership,10-01-2017,No,xxxxxxxx,Without Offers,?,Mobile_Data,06:56:08,15,88.48,33724.01,22,941.4586065,Yes,No,No,Not Applicable,Too many ads,0
469,54,M,QARH8JT,City,Gold Membership,09-04-2017,No,xxxxxxxx,Without Offers,?,Wi-Fi,19:47:55,6,94.98,29217.32,13,702.21,No,Yes,Yes,No Information Available,Poor Customer Service,0
470,24,M,VXZV1O3,Village,Platinum Membership,17-08-2016,Yes,CID7943,,?,Wi-Fi,18:51:20,1,215.35,65188.06,8,778.26,No,Yes,No,Not Applicable,Reasonable Price,0
471,27,M,IMYUGS9,City,Platinum Membership,17-06-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,18:27:29,10,308.34,96015.22,4,815.96,Yes,No,No,Not Applicable,Reasonable Price,0
472,40,M,OA710UG,Village,Premium Membership,16-02-2015,Yes,CID35381,Credit/Debit Card Offers,Desktop,Wi-Fi,05:52:45,-999,328.08,30949.96,20,767.25,Yes,No,Yes,Solved,No reason specified,0
473,17,M,UG0O8TB,Town,Basic Membership,22-07-2017,Yes,CID27956,Gift Vouchers/Coupons,Both,Wi-Fi,10:02:07,8,1512.6,15911.62,16,586.72,Yes,No,No,Not Applicable,Poor Product Quality,1
474,27,M,OHYHBXF,Village,Premium Membership,16-01-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,18:17:44,17,234.72,97438.18,12,,No,Yes,No,Not Applicable,Products always in Stock,0
475,61,M,KEOX4AA,Village,Basic Membership,23-08-2016,Yes,CID26676,Credit/Debit Card Offers,Smartphone,Mobile_Data,13:45:30,12,167.05,29100.92,29,517.38,No,Yes,Yes,Solved,No reason specified,1
476,35,F,BYP7XTO,Town,Basic Membership,23-12-2015,No,xxxxxxxx,Without Offers,?,Mobile_Data,21:14:04,21,74.86,7282.58,14,617.47,No,Yes,No,Not Applicable,Poor Website,1
477,27,F,9JY2TIQ,,Basic Membership,05-06-2015,?,CID1448,Credit/Debit Card Offers,Desktop,Mobile_Data,01:57:50,-999,84.9,12254.48,12,660.35,Yes,No,No,Not Applicable,Poor Product Quality,1
478,64,F,UIKDBY0,City,Basic Membership,09-12-2016,Yes,CID43243,Without Offers,Desktop,Wi-Fi,09:49:49,15,31.1,44214.34,27,672.58,Yes,No,Yes,No Information Available,Poor Website,1
479,26,M,GYPPYY9,Town,Gold Membership,31-07-2015,?,CID53052,Without Offers,Smartphone,Fiber_Optic,11:00:02,-999,783.85,28972.22,7,685.92,Yes,Yes,No,Not Applicable,Poor Product Quality,1
480,40,M,A8XL6QD,Town,Silver Membership,07-05-2016,No,xxxxxxxx,Credit/Debit Card Offers,Both,Mobile_Data,05:43:59,23,413.94,42743.27,20,655.95,Yes,No,No,Not Applicable,Poor Website,1
481,57,F,VTYOI9P,City,Gold Membership,16-04-2015,Yes,CID23550,Credit/Debit Card Offers,Desktop,Mobile_Data,21:21:34,20,640.52,6027.42,13,1066.059624,No,Yes,No,Not Applicable,Poor Website,0
482,28,M,3AGMHO8,City,Gold Membership,03-05-2015,No,xxxxxxxx,Credit/Debit Card Offers,Both,Fiber_Optic,11:02:13,12,202.8,20086.44,7,798.92,Yes,Yes,Yes,No Information Available,No reason specified,0
483,60,M,NZAGASL,Town,Basic Membership,31-07-2015,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,04:13:56,12,337.48,27396.98,26,614.08,No,Yes,Yes,Solved in Follow-up,No reason specified,1
484,51,F,SJMFXRV,Town,No Membership,03-11-2017,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,19:55:13,10,299.48,38854.23,28,668.5,No,Yes,Yes,Solved in Follow-up,Too many ads,1
485,18,M,3WK2CVF,,Basic Membership,05-02-2017,Yes,CID24108,Without Offers,Smartphone,Wi-Fi,17:51:22,8,31.26,15951.24,21,677.42,Yes,No,No,Not Applicable,Poor Customer Service,1
486,39,M,OBFCL74,Village,Premium Membership,15-06-2015,Yes,CID27244,Gift Vouchers/Coupons,Smartphone,Mobile_Data,02:42:27,18,110.72,4032.05,10,720.15,No,Yes,No,Not Applicable,Poor Product Quality,0
487,31,M,B8PG3XI,Town,Gold Membership,09-10-2016,?,CID15659,Gift Vouchers/Coupons,Smartphone,Wi-Fi,09:38:02,-999,242.79,1266.63,4,788.29,Yes,No,Yes,No Information Available,Quality Customer Care,0
488,23,M,HI5U3QB,City,No Membership,29-10-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,01:07:51,17,371.65,44996.93,27,507.98,No,Yes,No,Not Applicable,Poor Customer Service,1
489,60,F,THNRY1U,City,Silver Membership,19-12-2016,No,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,19:48:33,5,113.93,14527.98,Error,754.61,Yes,No,No,Not Applicable,Poor Product Quality,0
490,49,M,KEY3M98,City,Gold Membership,19-08-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,02:56:26,15,153.01,59242.98,18,790.36,Yes,No,No,Not Applicable,User Friendly Website,0
491,64,F,3HBBVHE,Village,Basic Membership,08-06-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,16:03:55,22,223.8,35421.5,9,606.53,Yes,Yes,No,Not Applicable,Too many ads,1
492,15,F,SBXFP63,City,No Membership,17-07-2015,Yes,CID3210,Credit/Debit Card Offers,Both,Fiber_Optic,04:17:22,-999,216.38,14244.25,24,621.01,No,Yes,No,Not Applicable,Poor Product Quality,1
493,51,F,X6GAJZG,Town,Silver Membership,12-11-2016,Yes,CID63547,Gift Vouchers/Coupons,Smartphone,Wi-Fi,19:18:53,15,92.58,47671.91,7,795.49,Yes,No,Yes,Solved,Reasonable Price,0
494,38,M,UZSSWL4,Town,Gold Membership,04-06-2017,?,CID22470,Gift Vouchers/Coupons,Desktop,Wi-Fi,12:01:22,11,62.54,50065.89,13,796.93,Yes,No,Yes,No Information Available,User Friendly Website,0
495,25,F,MRBJE0Y,City,Platinum Membership,21-10-2017,Yes,CID32474,Without Offers,Desktop,Fiber_Optic,10:41:31,7,170.95,41491.97,11,717.98,Yes,No,No,Not Applicable,Poor Customer Service,0
496,17,F,J8YLC82,Village,Silver Membership,22-09-2017,Yes,CID10950,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17:56:05,3,64.75,7475.03,1,753.16,No,Yes,No,Not Applicable,User Friendly Website,0
497,43,M,60WJYNN,,Premium Membership,04-04-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,14:57:22,23,359.7,19316.29,8,735.83,Yes,No,Yes,Unsolved,Poor Customer Service,0
498,47,M,95M8E9E,Town,Gold Membership,18-06-2017,Yes,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,08:24:52,3,152.42,43006.26,10,753.07,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,0
499,60,M,6C7B2QW,Town,Gold Membership,31-05-2017,?,CID42636,Gift Vouchers/Coupons,Desktop,Mobile_Data,22:32:47,6,427.58,30118.88,4,760.59,No,Yes,Yes,Unsolved,Reasonable Price,0
500,61,M,I9Q3KIR,Town,Basic Membership,05-11-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,23:15:11,-999,154.23,35098.61,15,594.68,No,Yes,Yes,Solved in Follow-up,No reason specified,1
501,41,M,3HMFW7R,City,Silver Membership,09-04-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,14:35:27,9,90.52,4542.69,11,309.4934125,Yes,No,No,Not Applicable,Too many ads,0
502,39,M,JG1Q8SN,Village,Basic Membership,08-10-2015,Yes,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,01:41:35,17,72.68,13514.25,27,709.97,Yes,No,Yes,Solved in Follow-up,No reason specified,1
503,55,F,0QVF7PH,Town,Premium Membership,01-10-2016,Yes,CID41902,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,09:17:19,20,168.75,80304.79,17,797.72,No,Yes,No,Not Applicable,Quality Customer Care,0
504,57,F,95TVC73,City,Silver Membership,22-04-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,01:26:28,17,68.53,31609.24,Error,785.98,No,Yes,Yes,Solved,User Friendly Website,0
505,38,M,UII0IBJ,City,Platinum Membership,25-03-2016,Yes,CID57762,,Desktop,Mobile_Data,10:27:27,17,31.64,38649.06,9,759.73,Yes,No,No,Not Applicable,Too many ads,0
506,13,M,ZMU9UMT,City,Basic Membership,08-01-2017,Yes,CID59044,Credit/Debit Card Offers,Desktop,Wi-Fi,09:06:26,20,1009.657785,8403.62,28,1048.853947,No,Yes,No,Not Applicable,Too many ads,1
507,10,F,SPXAR4J,Village,Basic Membership,18-02-2016,Yes,CID49645,Without Offers,Smartphone,Fiber_Optic,02:24:31,10,111.62,37182.03,13,663.5,No,Yes,No,Not Applicable,Poor Website,1
508,15,M,KF9RF0R,Town,Basic Membership,03-01-2016,Yes,CID14055,Credit/Debit Card Offers,Desktop,Wi-Fi,11:36:00,14,147.74,27224.5,15,710.45,No,Yes,No,Not Applicable,Too many ads,1
509,53,F,HH2HTZS,City,Gold Membership,14-01-2017,?,CID1914,Without Offers,Both,Mobile_Data,08:04:02,14,438.85,63431.93,17,709.01,Yes,No,No,Not Applicable,Quality Customer Care,0
510,54,M,RFTCJNS,City,Gold Membership,25-03-2017,Yes,CID34604,Without Offers,Desktop,Mobile_Data,12:57:35,13,33.05,2943.43,24,678.77,No,Yes,No,Not Applicable,Too many ads,1
511,46,F,NFCO8VT,,Gold Membership,20-01-2015,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,17:39:08,3,183.45,5219.4,Error,775.7,No,Yes,Yes,Solved in Follow-up,Poor Website,0
512,28,M,M8RFCNS,Village,Premium Membership,18-01-2017,?,CID4307,Without Offers,Smartphone,Wi-Fi,09:04:36,17,1215.5691,18178.62,2,771.68,No,Yes,No,Not Applicable,Quality Customer Care,0
513,39,F,8UC1DLA,Town,No Membership,11-11-2017,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,09:46:02,1,77.77,30852.93,12,633.24,Yes,No,No,Not Applicable,Poor Customer Service,1
514,13,M,RYKDVCP,Town,No Membership,07-07-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20:58:44,24,256.86,8522,17,669.02,Yes,No,Yes,Solved,Poor Customer Service,1
515,42,F,09VZZEV,Town,Gold Membership,25-02-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,13:24:21,26,1002.285062,3883.99,23,382.3570052,No,Yes,Yes,No Information Available,No reason specified,0
516,56,M,T173A8F,,Gold Membership,02-12-2017,Yes,CID6585,Gift Vouchers/Coupons,Both,Mobile_Data,06:09:51,5,298.69,26390.82,4,,Yes,No,No,Not Applicable,Products always in Stock,0
517,46,M,D95XVO8,,Gold Membership,31-05-2016,Yes,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,22:23:11,12,140.47,6027.92,7,718.91,Yes,No,No,Not Applicable,Poor Customer Service,1
518,41,F,BMYA484,Town,Premium Membership,16-05-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,13:55:49,8,474.34,64594.43,11,734.29,No,Yes,No,Not Applicable,Reasonable Price,0
519,56,F,38UCH6C,Town,Premium Membership,17-10-2017,Yes,CID19673,Gift Vouchers/Coupons,Desktop,Mobile_Data,04:32:12,-999,820.19,23075.09,6,1058.222977,Yes,No,Yes,No Information Available,Poor Product Quality,0
520,29,F,OGT4TT9,,Premium Membership,20-04-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,18:53:00,20,-890.5594822,11768.31,Error,765.08,No,Yes,Yes,Solved in Follow-up,No reason specified,0
521,59,F,2NMZ95M,City,Silver Membership,10-09-2016,Yes,CID32828,Without Offers,Desktop,Wi-Fi,15:13:37,19,124.47,17185.18,14,663.66,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,1
522,50,F,WEHL1O2,Town,Basic Membership,25-04-2015,No,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,01:11:05,14,-1635.880133,43790.13,Error,677.05,No,Yes,Yes,No Information Available,No reason specified,1
523,52,F,UQN6ZMJ,City,No Membership,14-05-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,09:19:59,15,181.36,16715.28,10,567.61,Yes,No,Yes,Unsolved,Poor Website,1
524,43,F,X4XBN66,Town,No Membership,22-10-2016,Yes,CID39083,Without Offers,Desktop,Mobile_Data,00:25:05,11,80.77,49062.27,21,660.05,No,Yes,Yes,Unsolved,Poor Website,1
525,29,M,UB2DYFL,Town,Gold Membership,16-10-2015,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,11:08:22,14,76.64,48367.6,5,690.27,Yes,No,Yes,Solved in Follow-up,Poor Website,1
526,44,M,3M85GI5,City,No Membership,16-07-2015,Yes,xxxxxxxx,Gift Vouchers/Coupons,Both,Mobile_Data,15:12:37,23,456.32,40778.12,Error,584.2,Yes,Yes,Yes,Solved,Poor Website,1
527,32,F,87Y1WWE,City,No Membership,25-05-2016,Yes,CID40932,Gift Vouchers/Coupons,Both,Fiber_Optic,11:53:14,13,372.1,8269.63,11,639.42,Yes,No,No,Not Applicable,Poor Website,1
528,40,M,Z9LXG3O,City,Premium Membership,01-05-2017,Yes,CID37761,Credit/Debit Card Offers,Smartphone,Wi-Fi,00:33:49,20,191.65,1100.15,10,712.31,No,Yes,Yes,Unsolved,Poor Website,0
529,17,M,Q654INV,Town,Basic Membership,03-02-2017,Yes,CID22713,Gift Vouchers/Coupons,Smartphone,Wi-Fi,06:54:10,22,-1116.963235,2327.58,16.24538222,535.59,No,Yes,Yes,No Information Available,Too many ads,1
530,60,F,BGM3V3G,City,No Membership,22-01-2016,No,xxxxxxxx,Without Offers,?,Mobile_Data,07:54:46,13,443.75,4997.04,19,1158.540681,Yes,No,Yes,Unsolved,Poor Customer Service,1
531,25,M,TITTDOO,,Premium Membership,12-03-2016,?,CID50069,Credit/Debit Card Offers,?,Mobile_Data,23:09:31,7,148.81,27608.13,20,749.19,Yes,No,No,Not Applicable,Poor Product Quality,0
532,21,M,Y2AC63A,Town,Gold Membership,20-01-2017,Yes,CID10640,Without Offers,Desktop,Wi-Fi,07:24:34,20,268.22,7545.82,4,,No,Yes,No,Not Applicable,Products always in Stock,0
533,58,F,OPBCTF9,City,Gold Membership,26-04-2016,Yes,CID31775,Without Offers,Smartphone,Mobile_Data,06:56:48,11,161.95,21004.91,16,,No,Yes,No,Not Applicable,Poor Product Quality,1
534,12,M,WHLE1V1,City,Platinum Membership,10-06-2017,Yes,CID36406,Gift Vouchers/Coupons,Both,Fiber_Optic,15:33:09,18,-270.4109484,46799.94,26,703.18,No,Yes,No,Not Applicable,Poor Website,0
535,46,M,8WERWPE,City,Basic Membership,17-10-2016,Yes,CID16697,Gift Vouchers/Coupons,Both,Mobile_Data,03:12:00,15,1128.26,30416.93,27,583.23,No,Yes,No,Not Applicable,Too many ads,1
536,53,F,SLSV3K2,Town,No Membership,22-08-2016,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,08:06:49,11,35.24,9818.28,11,696.37,Yes,No,No,Not Applicable,No reason specified,1
537,26,F,BN3KIDW,Village,Premium Membership,27-09-2017,Yes,CID14900,Without Offers,?,Wi-Fi,14:21:58,19,139.85,43079.79,17,712.06,No,Yes,Yes,No Information Available,Poor Website,0
538,18,M,52A7H7Y,,Gold Membership,06-05-2016,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,12:20:26,2,198.18,22032.55,27,691.98,Yes,No,No,Not Applicable,Poor Product Quality,1
539,60,M,MIOLY7F,Village,Silver Membership,31-07-2015,Yes,CID41206,Without Offers,Smartphone,Fiber_Optic,14:15:25,16,54.28,46183.02,Error,,Yes,No,Yes,Solved in Follow-up,No reason specified,1
540,26,M,MREA6D1,Town,Platinum Membership,09-07-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,04:46:08,12,120.24,43873.15,4,781.77,No,Yes,Yes,Solved in Follow-up,User Friendly Website,0
541,52,F,FI2KAHC,City,Silver Membership,20-09-2015,Yes,CID37850,Without Offers,Desktop,Mobile_Data,02:09:04,21,660.28,24842.66,11,977.9051228,No,Yes,No,Not Applicable,Too many ads,1
542,35,F,S74A25A,City,Platinum Membership,01-12-2016,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,15:16:40,9,637.22,13130.72,12,796.47,No,Yes,No,Not Applicable,Too many ads,0
543,19,F,5HFHIDV,Town,Gold Membership,06-05-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,10:46:35,23,113.95,41780.74,13,930.0824984,No,Yes,No,Not Applicable,Poor Product Quality,1
544,38,M,W97YV5S,Town,Silver Membership,23-07-2017,Yes,CID37248,Without Offers,Desktop,Fiber_Optic,10:51:33,8,484.98,75202.37,13,742.55,Yes,No,Yes,Solved,User Friendly Website,0
545,59,F,L0GBUPC,Town,No Membership,29-01-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,15:45:33,15,-1053.742717,6188.4,24,663.48,No,Yes,Yes,Unsolved,No reason specified,1
546,53,F,J5J47HY,Town,Silver Membership,27-04-2015,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,16:31:58,1,122.68,48377.84,2,706.25,No,Yes,Yes,Solved in Follow-up,Products always in Stock,0
547,60,M,QEV83I2,Town,Basic Membership,23-12-2016,No,xxxxxxxx,Without Offers,Both,Mobile_Data,18:12:28,-999,497.62,34301.65,14,854.431042,No,Yes,No,Not Applicable,Poor Customer Service,1
548,18,F,YMZUEZU,,Basic Membership,05-05-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,04:03:21,20,33.99,26564.59,23,507.1,No,Yes,No,Not Applicable,Poor Website,1
549,60,F,IA9SSEW,Town,Gold Membership,05-06-2015,?,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,02:08:11,15,148.12,6050.02,20,705.49,No,Yes,No,Not Applicable,Too many ads,1
